data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5089785,804,UKR4198,4198,"02 May 2018",2018,1,"Violence against civilians",Attack,"National Corps Party","National Militia",3,"Civilians (Ukraine)","Ecological Platform; Military Forces of Ukraine (2014-)",7,37,Europe,Ukraine,Lviv,"Lviv Municipality",,Lviv,49.8407,24.0305,1,"Human Rights Information Centre",National,"On 2 May 2018, after a lecture at a bookstore in Lviv, a JTO serviceman and an activist of the Ecological Platform organization, Rodion Bagaev, was beaten up by a group of six men belonging to ultraright groups. The attackers were identified as members of the National Corps Party and Natsionalni Druzhyny. According to other activists of the Ecological Platform, similar attacks by the same men happened before during other leftist events in Lviv.",0,1553853281,UKR
5540285,804,UKR4202,4202,"02 May 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)",,7,37,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Sputnik News Service; OSCE SMM-Ukraine; Interfax",National-Regional,"On 2 May 2018, unidentified 'radicals' beat up a man who was laying flowers during the so-called march of Ukrainian order in central Odessa commemorating deadly fire in Odessa on 2 May 2014.",0,1561483104,UKR
5535496,112,BLR39,39,"01 May 2018",2018,1,Protests,"Protest with intervention","Protesters (Belarus)","BCDTU: Belarusian Congress of Democratic Trade Unions; BSDP-A: Belarusian Social Democratic Party-Assembly",6,"Police Forces of Belarus (1994-)",,1,16,Europe,Belarus,Minsk,"City of Minsk",,Minsk,53.9,27.5667,2,"Svaboda.org; Charter-97; BelaPAN; TUT.BY",National,"On May 1st 2018, in Minsk, some 150 people gathered in a remote park on Tuesday for a May Day rally organized by the Belarusian Congress of Democratic Trade Unions (BCDTU). Shortly afterward, as 4 BSDP-A: Belarusian Social Democratic Party-Assembly activists were leaving the venue, they were arrested and taken to a police station. On May 2, 3 our of 4 activists fined for unsanctioned rally.",0,1561483030,BLR
5180598,643,RUS473,473,"01 May 2018",2018,1,Protests,"Protest with intervention","Protesters (Russia)","SERB: South East Radical Block",6,"Police Forces of Russia (2000-)",,1,16,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,Kommersant,National,"On 1 May, 2018 it was reported that law enforcement officials detained a group of SERB nationalist activists who tried to disturb the exhibition at the Sakharov Center in Moscow.",0,1557848407,RUS
5089748,804,UKR4161,4161,"01 May 2018",2018,1,Protests,"Protest with intervention","Protesters (Ukraine)",,6,"Rioters (Ukraine)",,5,56,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,Novyny,National,"A 1 May march in Odessa finishes after a dozen of young men from a pro-Ukrainian public organisation block a motorway to prevent the participants of a pro-Russian activists attempting to march through the central part of the city in a column.",0,1553853281,UKR
5540264,804,UKR4162,4162,"01 May 2018",2018,2,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)","Right Sector",7,37,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Ukraine General Newswire; OSCE SMM-Ukraine; Novyny",National-Regional,"On 1 May 2018 a former head of the Odessa regional branch of the Ukrainian far-right Right Sector party, Serhiy Sternenko, was attacked with a rubber-bullet pistol. Sternenko was shot in the head, but his life is out of danger. Two suspects are detained during police investigation of the attack.",0,1561483104,UKR
5540248,804,UKR4111,4111,"30 April 2018",2018,2,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)","Government of Ukraine (2014-)",7,37,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"Ukraine General Newswire; Novyny",National-Regional,"On 30 April 2018, Ukrainian MP Mustafa Nayyem was attacked in the center of Kyiv by unidentified individuals as a result of a road conflict.",0,1561483094,UKR
5089530,804,UKR3943,3943,"26 April 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)",C14,5,"Civilians (Ukraine)","PSPU: Progressive Socialist Party of Ukraine",7,57,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"BBC Monitoring",International,"On 26 April 2018, two members of the far-right radical group C14 poured kefir on Progressive Socialist Party leader Nataliya Vitrenko outside a Kiev court. While splashing kefir two masked men shouted ""Glory to Ukraine!"", ""Glory to the nation!"" and ""There will be no peace for commies on Ukrainian soil"".",0,1553853281,UKR
5089127,804,UKR3540,3540,"16 April 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)","Far Right Group (Ukraine)",5,"Civilians (Ukraine)","Association for Ukrainian-Moldovan Cooperation",7,57,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,"Informatsionnyy Tsentr",National,"On 16 April 2018, young people who ""were shouting far-right slogans"" dismantled tents of activists of the Association for Ukrainian-Moldovan Cooperation who were collecting signatures for the strengthening of Ukrainian-Moldovan relations, as well as the cancellation of ""discriminatory"" norms of the new law ""On education"". The tents were dismantled in Odessa, Izmayil and Tatarbunary, and the attackers ""called for lynching of the non-Ukrainian population"".",0,1553853280,UKR
5083181,643,RUS379,379,"14 April 2018",2018,1,Protests,"Protest with intervention","Protesters (Russia)","Yabloko: Russian United Democratic Party",6,"Police Forces of Russia (2000-)",,1,16,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,"OVD Info",National,"On April 14, 4 people were arrested on a rally organized by Yabloko against construction of the stadium Krasnaya Strela in Moscow. It was later revealed that the police simply removed some activists from the scene and that those may have been activists from the other activist group.",0,1553853274,RUS
